ts,loss,acc,val_loss,val_acc
1571330271,0.147968426347,0.8,0.136461958289,0.78
1571330271,0.129178345203,0.83,0.192608237267,0.7
1571330271,0.15802077949,0.76,0.172763109207,0.77
1571330272,0.112375624478,0.9,0.163100451231,0.77
1571330272,0.14185012877,0.83,0.161632880569,0.78
1571330272,0.133173912764,0.82,0.135605230927,0.81
1571330272,0.133243575692,0.83,0.186917662621,0.73
1571330272,0.174783453345,0.72,0.12797281146,0.83
1571330272,0.15159741044,0.8,0.19140085578,0.71
1571330273,0.140402689576,0.78,0.174363955855,0.77
1571330273,0.160541042686,0.75,0.167981445789,0.74
1571330273,0.13052329421,0.79,0.128435537219,0.85
1571330273,0.163671150804,0.75,0.191997408867,0.72
1571330273,0.164390847087,0.76,0.156816348433,0.77
1571330273,0.131886482239,0.8,0.151621744037,0.8
1571330274,0.15021827817,0.77,0.168288558722,0.74
1571330274,0.177094429731,0.77,0.145011007786,0.81
1571330274,0.151361942291,0.81,0.147707879543,0.8
1571330274,0.167204812169,0.75,0.165140867233,0.73
1571330274,0.209145620465,0.67,0.144864946604,0.8
1571330275,0.145561739802,0.77,0.187779039145,0.74
1571330275,0.148156642914,0.8,0.167365655303,0.78
1571330275,0.146952167153,0.78,0.152789980173,0.78
1571330275,0.164066001773,0.77,0.185882851481,0.72
1571330275,0.126233398914,0.82,0.152403965592,0.79
1571330275,0.150883585215,0.79,0.155382320285,0.75
1571330276,0.169320806861,0.76,0.172749072313,0.73
1571330276,0.131982147694,0.83,0.163949117064,0.77
1571330276,0.178168594837,0.72,0.187890231609,0.72
1571330276,0.135287314653,0.82,0.173990339041,0.74
1571330276,0.15298846364,0.76,0.164741039276,0.79
1571330276,0.167731672525,0.74,0.15269908309,0.76
1571330277,0.126942679286,0.81,0.131499409676,0.8
1571330277,0.129199907184,0.81,0.140970766544,0.82
1571330277,0.141209676862,0.85,0.155928522348,0.78
1571330277,0.167304888368,0.78,0.189247444272,0.71
